"","seg","modelo","marca","proy_venta_2022","ventas_2021","n_versiones"
"1","SUV","JS2","JAC",1731,1575,8
"2","SUV","CS15","CHANGAN",1105,1095,11
"3","SUV","CX-5","MAZDA",1007,922,19
"4","SUV","JS4","JAC",961,750,6
"5","SUV","VITARA","SUZUKI",934,772,13
"6","SUV","CX70","CHANGAN",877,752,7
"7","SUV","JOLION","HAVAL",857,279,9
"8","SUV","CS35","CHANGAN",771,869,7
"9","SUV","DUSTER","RENAULT",667,571,11
"10","SUV","CX30","MAZDA",612,693,8
"11","SUV","S3","JAC",605,173,13
"12","SUV","XL7","SUZUKI",482,483,4
"13","SUV","JIMNY","SUZUKI",461,229,6
"14","SUV","CX-3","MAZDA",426,432,10
"15","SUV","CS55","CHANGAN",258,327,7
"16","SUV","STEPWAY","RENAULT",255,70,3
"17","SUV","C5 AIRCROSS","CITROEN",196,62,4
"18","SUV","CX-9","MAZDA",192,194,8
"19","SUV","CAPTUR","RENAULT",165,202,5
"20","SUV","C4 CACTUS","CITROEN",150,120,2
"21","SUV","KOLEOS","RENAULT",118,24,5
"22","SUV","S-CROSS","SUZUKI",49,145,6
"23","SUV","ALL NEW H6 HAVAL","HAVAL",18,282,7
